speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
5081380,"Kiefferia pericarpiicola (Bremi, 1847)",SPECIES,ACCEPTED,Animalia,"5081380: Kiefferia pericarpiicola (Bremi, 1847)"
5081871,"Coniophora autumnalis (Mamaev, 1961)",SPECIES,ACCEPTED,Animalia,"6098291: Dasineura autumnalis (Mamaev, 1961)"
5082020,"Contarinia carpini Kieffer, 1897",SPECIES,ACCEPTED,Animalia,"5082020: Contarinia carpini Kieffer, 1897"
5082032,"Contarinia craccae Kieffer, 1897",SPECIES,ACCEPTED,Animalia,"5082032: Contarinia craccae Kieffer, 1897"
5082061,"Contarinia petioli (Kieffer, 1898)",SPECIES,ACCEPTED,Animalia,"5082061: Contarinia petioli (Kieffer, 1898)"
5082088,"Contarinia aequalis Kieffer, 1898",SPECIES,ACCEPTED,Animalia,"5082088: Contarinia aequalis Kieffer, 1898"
5082110,"Contarinia pseudotsugae Condrashoff, 1961",SPECIES,ACCEPTED,Animalia,"5082110: Contarinia pseudotsugae Condrashoff, 1961"
5082150,"Contarinia anthobia (Löw, 1877)",SPECIES,ACCEPTED,Animalia,"5082150: Contarinia anthobia (Löw, 1877)"
5082258,"Contarinia loti (De Geer, 1776)",SPECIES,ACCEPTED,Animalia,"5082258: Contarinia loti (De Geer, 1776)"
5082304,"Contarinia viburnorum Kieffer, 1913",SPECIES,ACCEPTED,Animalia,"5082304: Contarinia viburnorum Kieffer, 1913"
5082307,"Contarinia medicaginis Kieffer, 1895",SPECIES,ACCEPTED,Animalia,"5082307: Contarinia medicaginis Kieffer, 1895"
5082318,"Contarinia nicolayi (Rübsaamen, 1895)",SPECIES,ACCEPTED,Animalia,"5082318: Contarinia nicolayi (Rübsaamen, 1895)"
5082345,"Contarinia tiliarum (Kieffer, 1890)",SPECIES,ACCEPTED,Animalia,"5082345: Contarinia tiliarum (Kieffer, 1890)"
5082347,"Contarinia salatica Fedotova, 1996",SPECIES,ACCEPTED,Animalia,"5082347: Contarinia salatica Fedotova, 1996"
5085724,"Tetragoneura sylvatica (Curtis, 1837)",SPECIES,ACCEPTED,Animalia,"5085724: Tetragoneura sylvatica (Curtis, 1837)"
5085958,"Cordyla crassicornis Meigen, 1818",SPECIES,ACCEPTED,Animalia,"5085958: Cordyla crassicornis Meigen, 1818"
5085978,"Cordyla murina Winnertz, 1863",SPECIES,ACCEPTED,Animalia,"5085978: Cordyla murina Winnertz, 1863 | 10158766: BOLD:AAG4899"
5086456,"Carpomya wiedemanni (Meigen, 1826)",SPECIES,ACCEPTED,Animalia,"4515978: Goniglossum wiedemanni (Meigen, 1826)"
5088028,"Urophora stylata (Fabricius, 1775)",SPECIES,ACCEPTED,Animalia,"5088028: Urophora stylata (Fabricius, 1775)"
5088031,"Urophora cardui (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5088031: Urophora cardui (Linnaeus, 1758)"
5088153,"Urophora quadrifasciata (Meigen, 1826)",SPECIES,ACCEPTED,Animalia,"5088153: Urophora quadrifasciata (Meigen, 1826)"
5089433,"Ptychoptera albimanus (Fabricius, 1787)",SPECIES,ACCEPTED,Animalia,"5089433: Ptychoptera albimanus (Fabricius, 1787)"
5089477,"Ptychoptera contaminata (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5089477: Ptychoptera contaminata (Linnaeus, 1758)"
5091025,"Leptogaster cylindrica (De Geer, 1776)",SPECIES,ACCEPTED,Animalia,"5091025: Leptogaster cylindrica (De Geer, 1776)"
5091366,"Philonicus albiceps (Meigen, 1820)",SPECIES,ACCEPTED,Animalia,"5091366: Philonicus albiceps (Meigen, 1820)"
5094395,"Psila hennigi (Thompson & Pont, 1994)",SPECIES,ACCEPTED,Animalia,"5094395: Psila hennigi (Thompson & Pont, 1994)"
5094605,"Fannia scalaris (Fabricius, 1794)",SPECIES,ACCEPTED,Animalia,"5094605: Fannia scalaris (Fabricius, 1794)"
5094693,"Fannia canicularis (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5094693: Fannia canicularis (Linnaeus, 1758)"
