Appias libythea
Appias lyncida
Apple chlorotic leaf spot virus
Apple scar
Apple scar skin viroid
Apple stem grooving virus
Apple stem pitting virus
Apricot latent ringspot virus
Aprostocetus aethiops
Aprostocetus albae
Aprostocetus alveatus
Aprostocetus brachycerus
Aprostocetus ceroplastae
Aprostocetus cerricola
Aprostocetus clavicornis
Aprostocetus coccidiphagus
Aprostocetus collega
Aprostocetus diversus
Aprostocetus domenichinii
Aprostocetus elongatus
Aprostocetus luteus
Aprostocetus lycidas
Aprostocetus mycerinus
Aprostocetus roesellae
Aprostocetus rubi
Aprostocetus strobilus
Aprostocetus trjapitzini
Aprostocetus zosimus
Aprutides guidettii
Aprutides martuccii
Apsectrotanypus trifascipennis
Apteragia quadrispiculata
Aquarius remigis
Aquila adalberti
Aquila audax
Aquila chrysaetos
Aquila fasciata
Aquila heliaca
Aquila nipalensis
Aquila pomarina
Aquilaria sinensis
Aquilegia flavescens
Aquilegia vulgaris
Arabis mosaic virus
Arachnopeziza aranea
Arachnopeziza aurelia
