"","speciesName_globi","canonicalName_GBIF.canonicalName","canonicalName_GBIF.scientificName","kingdom.kingdom","kingdom.matchType","usageKey"
"14116","Salix pentandra",Salix pentandra,NA,Plantae,NA, 5372647
"14117","Salix repens",Salix repens,NA,Plantae,NA, 9148812
"14118","Salix rubens",Salix rubens,NA,Plantae,NA, 5372512
"14119","Salix rubra",Salix rubra,NA,Plantae,NA, 5372926
"14120","Salix udensis",Salix udensis,NA,Plantae,NA, 5582033
"14121","Salix viminalis",Salix viminalis,NA,Plantae,NA, 5372933
"14122","Salmo salar",Salmo salar,NA,Animalia,NA, 7595433
"14123","Salmo trutta",Salmo trutta,NA,Animalia,NA, 8215487
"14124","Salmonella enterica",Salmonella enterica,NA,Bacteria,NA, 9701185
"14125","Saloca diceros",Saloca diceros,NA,Animalia,NA, 2137523
"14126","Salpichroa origanifolia",Salpichroa origanifolia,NA,Plantae,NA, 2928796
"14127","Salpichroa tristis",Salpichroa tristis,NA,Plantae,NA, 7498435
"14128","Salpingus ruficollis",Salpingus ruficollis,NA,Animalia,NA, 4456183
"14129","Salsola tragus",NA,Salsola tragus L.,NA,EXACT, 3083945
"14130","Saltator atriceps",Saltator atriceps,NA,Animalia,NA, 5230896
"14131","Saltator aurantiirostris",Saltator aurantiirostris,NA,Animalia,NA, 5230903
"14132","Saltator fuliginosus",Saltator fuliginosus,NA,Animalia,NA, 5230941
"14133","Saltator similis",Saltator similis,NA,Animalia,NA, 5230959
"14134","Salticus scenicus",Salticus scenicus,NA,Animalia,NA, 2172595
"14135","Salvia africana",Salvia africana,NA,Plantae,NA, 3886290
"14136","Salvia apiana",Salvia apiana,NA,Plantae,NA, 2927016
"14137","Salvia aurea",Salvia aurea,NA,Plantae,NA, 3884533
"14138","Salvia azurea",Salvia azurea,NA,Plantae,NA, 8283204
"14139","Salvia bogotensis",Salvia bogotensis,NA,Plantae,NA, 7306642
"14140","Salvia brandegeei",Salvia brandegeei,NA,Plantae,NA, 2927021
"14141","Salvia chamaedryoides",Salvia chamaedryoides,NA,Plantae,NA, 7306439
"14142","Salvia clevelandii",Salvia clevelandii,NA,Plantae,NA, 2927024
"14143","Salvia coccinea",Salvia coccinea,NA,Plantae,NA, 9278365
"14144","Salvia columbariae",Salvia columbariae,NA,Plantae,NA, 2927060
"14145","Salvia confertiflora",Salvia confertiflora,NA,Plantae,NA, 7309500
"14146","Salvia cuatrecasasiana",Salvia cuatrecasasiana,NA,Plantae,NA,10724647
"14147","Salvia dorrii",Salvia dorrii,NA,Plantae,NA, 2927059
"14148","Salvia elegans",Salvia elegans,NA,Plantae,NA, 6412418
"14149","Salvia engelmannii",Salvia engelmannii,NA,Plantae,NA, 2927003
"14150","Salvia farinacea",Salvia farinacea,NA,Plantae,NA, 2927064
"14151","Salvia greggii",Salvia greggii,NA,Plantae,NA, 2927038
"14152","Salvia guaranitica",Salvia guaranitica,NA,Plantae,NA, 7486599
"14153","Salvia hispanica",Salvia hispanica,NA,Plantae,NA, 2926992
"14154","Salvia languidula",Salvia languidula,NA,Plantae,NA, 3898357
"14155","Salvia leucantha",Salvia leucantha,NA,Plantae,NA, 6411750
"14156","Salvia leucophylla",Salvia leucophylla,NA,Plantae,NA, 2927023
"14157","Salvia longispicata",Salvia longispicata,NA,Plantae,NA, 3897283
"14158","Salvia lyrata",Salvia lyrata,NA,Plantae,NA, 2927027
"14159","Salvia mellifera",Salvia mellifera,NA,Plantae,NA, 2926986
"14160","Salvia mexicana",Salvia mexicana,NA,Plantae,NA, 8104661
"14161","Salvia microphylla",Salvia microphylla,NA,Plantae,NA, 2927045
"14162","Salvia misella",Salvia misella,NA,Plantae,NA, 2927058
"14163","Salvia nemorosa",Salvia nemorosa,NA,Plantae,NA, 2927028
"14164","Salvia nipponica",Salvia nipponica,NA,Plantae,NA, 3894689
"14165","Salvia officinalis",Salvia officinalis,NA,Plantae,NA, 2927004
"14166","Salvia pratensis",Salvia pratensis,NA,Plantae,NA, 2927007
"14167","Salvia rosmarinus",Salvia rosmarinus,NA,Plantae,NA,10902460
"14168","Salvia spathacea",Salvia spathacea,NA,Plantae,NA, 2927042
"14169","Salvia tortuosa",Salvia tortuosa,NA,Plantae,NA, 7306887
"14170","Salvia uliginosa",Salvia uliginosa,NA,Plantae,NA, 3882686
"14171","Salvia verbenaca",Salvia verbenaca,NA,Plantae,NA, 6409706
"14172","Salvia yangii",Salvia yangii,NA,Plantae,NA,10801424
"14173","Sambucus canadensis",Sambucus canadensis,NA,Plantae,NA, 6369819
"14174","Sambucus cerulea",NA,Sambucus cerulea Raf.,NA,EXACT, 2888726
"14175","Sambucus ebulus",Sambucus ebulus,NA,Plantae,NA, 2888722
"14176","Sambucus nigra",Sambucus nigra,NA,Plantae,NA, 2888728
"14177","Sambucus peruviana",Sambucus peruviana,NA,Plantae,NA, 3857458
"14178","Samia cynthia",Samia cynthia,NA,Animalia,NA, 1866356
"14179","Samia ricini",Samia ricini,NA,Animalia,NA,11863894
"14180","Samia walkeri",NA,Samia walkeri C.Felder & R.Felder, 1862,NA,EXACT, 8155171
"14181","Samolus ebracteatus",Samolus ebracteatus,NA,Plantae,NA, 3169311
"14182","Sango orthobunyavirus",Sango orthobunyavirus,NA,incertae sedis,NA,10706413
"14183","Sanguinaria canadensis",Sanguinaria canadensis,NA,Plantae,NA, 5334192
"14184","Sanicula arctopoides",Sanicula arctopoides,NA,Plantae,NA, 3034853
"14185","Sanicula canadensis",Sanicula canadensis,NA,Plantae,NA, 3034834
"14186","Sanicula laciniata",Sanicula laciniata,NA,Plantae,NA, 3034835
"14187","Sanicula marilandica",Sanicula marilandica,NA,Plantae,NA, 3034845
"14188","Sapajus apella",Sapajus apella,NA,Animalia,NA, 7477334
"14189","Saperda discoidea",Saperda discoidea,NA,Animalia,NA, 1102790
"14190","Saperda obliqua",Saperda obliqua,NA,Animalia,NA, 1102774
"14191","Sapindus saponaria",Sapindus saponaria,NA,Plantae,NA, 8017915
"14192","Saponaria officinalis",Saponaria officinalis,NA,Plantae,NA, 3085360
"14193","Saprinus discoidalis",Saprinus discoidalis,NA,Animalia,NA, 1044813
"14194","Sapromyza neozelandica",Sapromyza neozelandica,NA,Animalia,NA, 1571025
"14195","Sapyga centrata",Sapyga centrata,NA,Animalia,NA,10371988
"14196","Sarangesa purendra",Sarangesa purendra,NA,Animalia,NA, 1942769
"14197","Sarbanissa subflava",Sarbanissa subflava,NA,Animalia,NA, 1797030
"14198","Sarcococca confusa",Sarcococca confusa,NA,Plantae,NA, 3987951
"14199","Sarcocornia quinqueflora",NA,Sarcocornia quinqueflora (Ung.-Sternb.) A.J.Scott,NA,EXACT, 7340091
"14200","Sarcocystis capreolicanis",Sarcocystis capreolicanis,NA,Chromista,NA, 8539359
"14201","Sarcocystis cruzi",Sarcocystis,NA,Chromista,NA, 3235419
"14202","Sarcocystis grueneri",Sarcocystis grueneri,NA,Chromista,NA, 8530443
"14203","Sarcocystis hardangeri",Sarcocystis hardangeri,NA,Chromista,NA, 8609802
"14204","Sarcocystis hirsuta",Sarcocystis,NA,Chromista,NA, 3235419
