occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
,"Saxicola torquata","Saxicola torquata (Linnaeus, 1766)","2492527","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Saxicola","Saxicola torquatus","Saxicola torquata","(Linnaeus, 1766) "
,"Sterna albifrons","Sterna albifrons Pallas, 1764","5229215","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sterna albifrons","Pallas, 1764"
,"Sterna hirundo","Sterna hirundo Linnaeus, 1758","9367409","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","Sterna hirundo","Linnaeus, 1758"
,"Sterna sandvicensis","Sterna sandvicensis Latham, 1787","5229223","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus sandvicensis","Sterna sandvicensis","Latham, 1787"
,"Tetrao tetrix","Tetrao tetrix Linnaeus, 1758","8379871","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Lyrurus","Lyrurus tetrix","Tetrao tetrix","Linnaeus, 1758"
,"Tringa totanus","Tringa totanus (Linnaeus, 1758)","2481714","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa totanus","Tringa totanus","(Linnaeus, 1758) "
,"Tyto alba","Tyto alba (Scopoli, 1769)","2497921","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Strigiformes","Tytonidae","Tyto","Tyto alba","Tyto alba","(Scopoli, 1769) "
,"Bembidion elongatum","Bembidion elongatum Dejean, 1831","5872133","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Sinechostictus","Sinechostictus elongatus","Bembidion elongatum","Dejean, 1831"
,"Bembidion ephippium","Bembidion ephippium (Marsham, 1802)","4308807","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion ephippium","Bembidion ephippium","(Marsham, 1802) "
,"Bembidion litorale","Bembidion litorale (Olivier, 1790)","5872143","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion litorale","Bembidion litorale","(Olivier, 1790) "
,"Bembidion maritimum","Bembidion maritimum (Stephens, 1839)","9816904","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion maritimum","Bembidion maritimum","(Stephens, 1839) "
,"Bembidion normannum","Bembidion normannum Dejean, 1831","6097892","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion normannum","Bembidion normannum","Dejean, 1831"
,"Bembidion pallidipenne","Bembidion pallidipenne (Illiger, 1802)","8607776","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion pallidipenne","Bembidion pallidipenne","(Illiger, 1802) "
,"Blethisa multipunctata","Blethisa multipunctata (Linnaeus, 1758)","4988207","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Blethisa","Blethisa multipunctata","Blethisa multipunctata","(Linnaeus, 1758) "
,"Brachinus crepitans","Brachinus crepitans (Linnaeus, 1758)","4474861","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Brachinus","Brachinus crepitans","Brachinus crepitans","(Linnaeus, 1758) "
,"Brachinus explodens","Brachinus explodens Duftschmid, 1812","4474922","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Brachinus","Brachinus explodens","Brachinus explodens","Duftschmid, 1812"
,"Bradycellus caucasicus","Bradycellus caucasicus (Chaudoir, 1846)","5755969","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bradycellus","Bradycellus caucasicus","Bradycellus caucasicus","(Chaudoir, 1846) "
,"Calathus ambiguus","Calathus ambiguus (Paykull, 1790)","5755293","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Calathus","Calathus ambiguus","Calathus ambiguus","(Paykull, 1790) "
,"Calathus cinctus","Calathus cinctus Motschulsky, 1850","5755322","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Calathus","Calathus cinctus","Calathus cinctus","Motschulsky, 1850"
,"Callistus lunatus","Callistus lunatus (Fabricius, 1775)","6097854","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Callistus","Callistus lunatus","Callistus lunatus","(Fabricius, 1775) "
,"Calosoma inquisitor","Calosoma inquisitor (Linnaeus, 1758)","5872954","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Calosoma","Calosoma inquisitor","Calosoma inquisitor","(Linnaeus, 1758) "
,"Calosoma sycophanta","Calosoma sycophanta (Linnaeus, 1758)","4989308","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Calosoma","Calosoma sycophanta","Calosoma sycophanta","(Linnaeus, 1758) "
,"Carabus arvensis","Carabus arvensis Herbst, 1784","5872829","EXACT","97","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabus","Carabus arcensis","Carabus arvensis","Herbst, 1784"
,"Carabus cancellatus","Carabus cancellatus Illiger, 1798","4470480","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabus","Carabus cancellatus","Carabus cancellatus","Illiger, 1798"
,"Carabus clathratus","Carabus clathratus Illiger, 1798","9224900","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabus","Carabus clatratus","Carabus clathratus","Illiger, 1798"
,"Carabus coriaceus","Carabus coriaceus Linnaeus, 1758","4470451","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabus","Carabus coriaceus","Carabus coriaceus","Linnaeus, 1758"
,"Carabus intricatus","Carabus intricatus Linnaeus, 1760","4471016","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabus","Carabus intricatus","Carabus intricatus","Linnaeus, 1760"
,"Carabus nitens","Carabus nitens Linnaeus, 1758","4471071","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabus","Carabus nitens","Carabus nitens","Linnaeus, 1758"
,"Chlaenius nigricornis","Chlaenius nigricornis (Fabricius, 1787)","6097906","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Chlaenius","Chlaenius nigricornis","Chlaenius nigricornis","(Fabricius, 1787) "
,"Chlaenius nitidulus","Chlaenius nitidulus (Schrank, 1781)","5810729","EXACT","97","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Chlaenius","Chlaenius nitidulus","Chlaenius nitidulus","(Schrank, 1781) "
,"Chlaenius tristis","Chlaenius tristis (Schaller, 1783)","6097905","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Chlaenius","Chlaenius tristis","Chlaenius tristis","(Schaller, 1783) "
