"","sourceSpeciesName","sourcePhylum","sourceKingdom","interactionType","targetSpeciesName","targetPhylum","targetKingdom"
"21210","Gibberella zeae","Ascomycota","Fungi","pathogenOf","Acer pseudoplatanus","Tracheophyta","Plantae"
"21211","Gibberella zeae","Ascomycota","Fungi","eats","Carpinus betulus","Tracheophyta","Plantae"
"21212","Fusarium avenaceum","Ascomycota","Fungi","hasHost","Fraxinus excelsior","Tracheophyta","Plantae"
"21213","Fusarium avenaceum","Ascomycota","Fungi","hasHost","Robinia pseudoacacia","Tracheophyta","Plantae"
"21214","Gibberella avenacea","Ascomycota","Fungi","interactsWith","Robinia pseudoacacia","Tracheophyta","Plantae"
"21215","Gibberella avenacea","Ascomycota","Fungi","interactsWith","Acer platanoides","Tracheophyta","Plantae"
"21216","Gibberella avenacea","Ascomycota","Fungi","interactsWith","Vitis vinifera","Tracheophyta","Plantae"
"21217","Gibberella fujikuroi","Ascomycota","Fungi","interactsWith","Ficus carica","Tracheophyta","Plantae"
"21218","Fusarium lateritium","Ascomycota","Fungi","hasHost","Robinia pseudoacacia","Tracheophyta","Plantae"
"21219","Gibberella pulicaris","Ascomycota","Fungi","interactsWith","Betula pendula","Tracheophyta","Plantae"
"21220","Gibberella pulicaris","Ascomycota","Fungi","interactsWith","Quercus robur","Tracheophyta","Plantae"
"21221","Gibberella pulicaris","Ascomycota","Fungi","interactsWith","Carpinus betulus","Tracheophyta","Plantae"
"21222","Gibberella pulicaris","Ascomycota","Fungi","interactsWith","Robinia pseudoacacia","Tracheophyta","Plantae"
"21223","Gibberella pulicaris","Ascomycota","Fungi","hasHost","Robinia pseudoacacia","Tracheophyta","Plantae"
"21224","Gibberella pulicaris","Ascomycota","Fungi","hasHost","Fraxinus excelsior","Tracheophyta","Plantae"
"21225","Gibberella pulicaris","Ascomycota","Fungi","hasHost","Ficus carica","Tracheophyta","Plantae"
"21226","Gibberella intricans","Ascomycota","Fungi","interactsWith","Robinia pseudoacacia","Tracheophyta","Plantae"
"21227","Tubercularia nigricans","Ascomycota","Fungi","hasHost","Campsis radicans","Tracheophyta","Plantae"
"21228","Tubercularia nigricans","Ascomycota","Fungi","hasHost","Gleditsia triacanthos","Tracheophyta","Plantae"
"21229","Trichoderma koningii","Ascomycota","Fungi","interactsWith","Heracleum sphondylium","Tracheophyta","Plantae"
"21230","Trichoderma koningii","Ascomycota","Fungi","eats","Heracleum sphondylium","Tracheophyta","Plantae"
"21231","Isaria friesii","Ascomycota","Fungi","eats","Hedera helix","Tracheophyta","Plantae"
"21232","Glomus microcarpum","Glomeromycota","Fungi","symbiontOf","Zea mays","Tracheophyta","Plantae"
"21233","Glomus microcarpum","Glomeromycota","Fungi","symbiontOf","Araucaria angustifolia","Tracheophyta","Plantae"
"21234","Furia americana","Zygomycota","Fungi","hasHost","Calliphora vomitoria","Arthropoda","Animalia"
"21235","Furia americana","Zygomycota","Fungi","hasHost","Phormia regina","Arthropoda","Animalia"
"21236","Furia americana","Zygomycota","Fungi","hasHost","Muscina stabulans","Arthropoda","Animalia"
"21237","Entomophthora muscae","Zygomycota","Fungi","parasiteOf","Scathophaga stercoraria","Arthropoda","Animalia"
"21238","Entomophthora muscae","Zygomycota","Fungi","hasHost","Lucilia sericata","Arthropoda","Animalia"
"21239","Entomophthora muscae","Zygomycota","Fungi","hasHost","Scathophaga stercoraria","Arthropoda","Animalia"
"21240","Entomophthora muscae","Zygomycota","Fungi","hasHost","Pollenia rudis","Arthropoda","Animalia"
"21241","Dispira cornuta","Zygomycota","Fungi","interactsWith","Oryctolagus cuniculus","Chordata","Animalia"
"21242","Thamnidium elegans","Zygomycota","Fungi","interactsWith","Oryctolagus cuniculus","Chordata","Animalia"
"21243","Mucor mucedo","Zygomycota","Fungi","interactsWith","Oryctolagus cuniculus","Chordata","Animalia"
"21244","Mucor genevensis","Zygomycota","Fungi","interactsWith","Oryctolagus cuniculus","Chordata","Animalia"
"21245","Cantharellus cibarius","Basidiomycota","Fungi","eats","Quercus robur","Tracheophyta","Plantae"
"21246","Sphaerobolus stellatus","Basidiomycota","Fungi","interactsWith","Bos taurus","Chordata","Animalia"
"21247","Auricularia mesenterica","Basidiomycota","Fungi","eats","Fagus sylvatica","Tracheophyta","Plantae"
"21248","Auricularia auricula-judae","Basidiomycota","Fungi","hasHost","Hedera helix","Tracheophyta","Plantae"
"21249","Auricularia auricula-judae","Basidiomycota","Fungi","hasHost","Fraxinus excelsior","Tracheophyta","Plantae"
"21250","Auricularia auricula-judae","Basidiomycota","Fungi","parasiteOf","Fraxinus excelsior","Magnoliophyta","Plantae"
"21251","Auricularia auricula-judae","Basidiomycota","Fungi","eats","Hedera helix","Tracheophyta","Plantae"
"21252","Gloeophyllum subferrugineum","Basidiomycota","Fungi","hasHost","Quercus robur","Tracheophyta","Plantae"
"21253","Lactarius salmonicolor","Basidiomycota","Fungi","hasHost","Alnus glutinosa","Charophyta","Plantae"
"21254","Lactarius fluens","Basidiomycota","Fungi","symbiontOf","Carpinus betulus","Tracheophyta","Plantae"
"21255","Lactarius pyrogalus","Basidiomycota","Fungi","symbiontOf","Carpinus betulus","Tracheophyta","Plantae"
"21256","Lactarius lilacinus","Basidiomycota","Fungi","symbiontOf","Alnus glutinosa","Tracheophyta","Plantae"
"21257","Lactarius circellatus","Basidiomycota","Fungi","symbiontOf","Carpinus betulus","Tracheophyta","Plantae"
"21258","Lactarius ruginosus","Basidiomycota","Fungi","symbiontOf","Carpinus betulus","Tracheophyta","Plantae"
"21259","Lactarius pterosporus","Basidiomycota","Fungi","symbiontOf","Carpinus betulus","Tracheophyta","Plantae"
"21260","Lactarius flavidus","Basidiomycota","Fungi","symbiontOf","Carpinus betulus","Tracheophyta","Plantae"
"21261","Lactarius decipiens","Basidiomycota","Fungi","symbiontOf","Carpinus betulus","Tracheophyta","Plantae"
"21262","Hericium cirrhatum","Basidiomycota","Fungi","eats","Fagus sylvatica","Tracheophyta","Plantae"
"21263","Hericium cirrhatum","Basidiomycota","Fungi","eats","Acer pseudoplatanus","Tracheophyta","Plantae"
"21264","Hericium cirrhatum","Basidiomycota","Fungi","eats","Quercus robur","Tracheophyta","Plantae"
"21265","Hericium erinaceus","Basidiomycota","Fungi","hasHost","Robinia pseudoacacia","Tracheophyta","Plantae"
"21266","Hericium erinaceus","Basidiomycota","Fungi","parasiteOf","Carpinus betulus","Tracheophyta","Plantae"
"21267","Hericium erinaceus","Basidiomycota","Fungi","eats","Carpinus betulus","Tracheophyta","Plantae"
"21268","Auriscalpium vulgare","Basidiomycota","Fungi","hasHost","Pseudotsuga menziesii","Pinophyta","Plantae"
"21269","Lenzites betulina","Basidiomycota","Fungi","pathogenOf","Prunus cerasus","Tracheophyta","Plantae"
"21270","Polyporus squamosus","Basidiomycota","Fungi","interactsWith","Mydaea urbana","Arthropoda","Animalia"
"21271","Polyporus squamosus","Basidiomycota","Fungi","interactsWith","Acer pseudoplatanus","Tracheophyta","Plantae"
"21272","Polyporus squamosus","Basidiomycota","Fungi","eats","Acer pseudoplatanus","Tracheophyta","Plantae"
"21273","Polyporus leptocephalus","Basidiomycota","Fungi","interactsWith","Acer pseudoplatanus","Tracheophyta","Plantae"
"21274","Polyporus umbellatus","Basidiomycota","Fungi","eats","Carpinus betulus","Tracheophyta","Plantae"
"21275","Pycnoporus cinnabarinus","Basidiomycota","Fungi","pathogenOf","Prunus cerasus","Tracheophyta","Plantae"
"21276","Pycnoporus cinnabarinus","Basidiomycota","Fungi","interactsWith","Betula pendula","Tracheophyta","Plantae"
"21277","Pycnoporus cinnabarinus","Basidiomycota","Fungi","interactsWith","Fagus sylvatica","Tracheophyta","Plantae"
"21278","Pycnoporus cinnabarinus","Basidiomycota","Fungi","hasHost","Prunus avium","Tracheophyta","Plantae"
"21279","Panus rudis","Basidiomycota","Fungi","hasHost","Quercus robur","Tracheophyta","Plantae"
"21280","Panus rudis","Basidiomycota","Fungi","hasHost","Robinia pseudoacacia","Tracheophyta","Plantae"
"21281","Postia ceriflua","Basidiomycota","Fungi","eats","Acer pseudoplatanus","Tracheophyta","Plantae"
"21282","Postia balsamea","Basidiomycota","Fungi","eats","Acer pseudoplatanus","Tracheophyta","Plantae"
"21283","Terana coerulea","Basidiomycota","Fungi","interactsWith","Fraxinus excelsior","Tracheophyta","Plantae"
"21284","Tapinella panuoides","Basidiomycota","Fungi","eats","Prunus avium","Tracheophyta","Plantae"
"21285","Gymnopus peronatus","Basidiomycota","Fungi","hasHost","Pseudotsuga menziesii","Charophyta","Plantae"
"21286","Strobilurus esculentus","Basidiomycota","Fungi","eats","Pseudotsuga menziesii","Tracheophyta","Plantae"
