"","usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","species","kingdomKey","speciesKey","species_name_network","king_network"
"9212",3410705,"Melanohalea exasperata (De Not.) O.Blanco, A.Crespo, Divakar, Essl., D.Hawksw. & Lumbsch","Melanohalea exasperata","SPECIES","ACCEPTED",100,"EXACT","Fungi","Melanohalea exasperata",5,3410705,"Melanohalea exasperata","Fungi"
"9213",3410558,"Usnea subflorida (Zahlbr.) Mot.","Usnea subflorida","SPECIES","ACCEPTED",100,"EXACT","Fungi","Usnea subflorida",5,3410558,"Usnea subflorida","Fungi"
"9214",2606138,"Usnea fragilescens Hav. ex Lynge","Usnea fragilescens","SPECIES","ACCEPTED",99,"EXACT","Fungi","Usnea fragilescens",5,2606138,"Usnea fragilescens","Fungi"
"9215",3409010,"Bryoria americana (Motyka) Holien","Bryoria americana","SPECIES","ACCEPTED",100,"EXACT","Fungi","Bryoria americana",5,3409010,"Bryoria americana","Fungi"
"9216",3408876,"Menegazzia subsimilis (H.Magn.) R.Sant.","Menegazzia subsimilis","SPECIES","ACCEPTED",100,"EXACT","Fungi","Menegazzia subsimilis",5,3408876,"Menegazzia subsimilis","Fungi"
"9217",3408748,"Kaernefeltia merrillii (Du Rietz) A.Thell & Goward","Kaernefeltia merrillii","SPECIES","SYNONYM",100,"EXACT","Fungi","Nephromopsis merrillii",5,10706281,"Kaernefeltia merrillii","Fungi"
"9218",3407752,"Parmelinopsis afrorevoluta (Krog & Swinscow) Elix & Hale","Parmelinopsis afrorevoluta","SPECIES","SYNONYM",100,"EXACT","Fungi","Hypotrachyna afrorevoluta",5,3407756,"Parmelinopsis afrorevoluta","Fungi"
"9219",3404517,"Tuckermanopsis ciliaris (Ach.) Gyelnik","Tuckermanopsis ciliaris","SPECIES","SYNONYM",100,"EXACT","Fungi","Tuckermannopsis ciliaris",5,2605286,"Tuckermanopsis ciliaris","Fungi"
"9220",3403770,"Punctelia semansiana (W.L.Culb. & C.F.Culb.) Krog","Punctelia semansiana","SPECIES","ACCEPTED",100,"EXACT","Fungi","Punctelia semansiana",5,3403770,"Punctelia semansiana","Fungi"
"9221",3402676,"Fellhanera gyrophorica Sérus., Coppins, Diederich & Scheid.","Fellhanera gyrophorica","SPECIES","ACCEPTED",100,"EXACT","Fungi","Fellhanera gyrophorica",5,3402676,"Fellhanera gyrophorica","Fungi"
